Company_ID,Date,Sector,Total_Energy_Consumption_kWh,Renewable_Energy_Consumption_kWh,NonRenewable_Energy_Consumption_kWh,Production_Output_Units,Supply_Chain_Transport_km,Supply_Chain_Transport_Mode,Raw_Material_Usage_kg,Carbon_Emission_tCO2e_TARGET,Energy_Cost_USD,Carbon_Tax_USD,Process_Efficiency_Percent,Employment_Count,Public_Acceptance_Index,Carbon_Reduction_Strategy,Strategy_Implementation_Cost_USD,Expected_Carbon_Reduction_Percent,Expected_Renewable_Share_Percent,Social_Impact_Score,Industry_Sectors
C001,2024-01-01,Manufacturing,53751.61,12766.8,40984.81,3008.9,3814.12,Truck,51334.48,12.556,3040.12,338.76,81.07,2128,0.77,Process Reengineering,188176.25,16.79,40.89,0.4,Steel Manufacturing
C001,2024-01-02,Manufacturing,170872.89,76733.84,94139.05,4062.25,1199.66,Air,17154.72,35.3949,12837.43,1073.13,69.26,855,0.77,Efficiency Upgrade,489246.31,12.57,58.19,0.86,Cement Production
C001,2024-01-03,Manufacturing,142777.96,75794.17,66983.79,6196.17,3670.57,Truck,56288.43,30.4517,16985.65,1390.41,90.33,3613,0.48,Carbon Tax Compliance,165061.64,12.11,68.14,0.79,Automotive Industry
C001,2024-01-04,Manufacturing,152532.15,20698.8,131833.35,6714.8,2903.63,Ship,21438.17,49.555,18192.0,1942.56,79.49,3156,0.85,Efficiency Upgrade,191619.23,5.64,23.3,0.55,Logistics
C001,2024-01-05,Manufacturing,81647.43,46657.82,34989.61,8887.31,1916.05,Rail,37694.23,16.8968,6704.86,472.2,68.63,4915,0.47,Process Reengineering,459129.15,12.99,65.44,0.95,Steel Manufacturing
C001,2024-01-06,Manufacturing,126428.94,18389.68,108039.26,1424.05,993.42,Ship,65445.56,41.5337,6883.67,1306.18,94.86,4834,0.46,Efficiency Upgrade,372113.36,7.29,32.82,0.81,Cement Production
C001,2024-01-07,Manufacturing,165289.81,44642.75,120647.06,3641.5,1211.71,Truck,76767.11,57.3279,11311.98,2007.48,66.25,1371,0.87,Carbon Tax Compliance,436667.74,15.15,34.99,0.61,Automotive Industry
C001,2024-01-08,Manufacturing,74232.36,42813.5,31418.86,9301.91,4633.22,Air,44202.4,10.1286,5597.76,501.97,88.24,2461,0.34,Efficiency Upgrade,134261.38,14.72,63.71,0.82,Logistics
C001,2024-01-09,Manufacturing,164875.16,27071.8,137803.36,5277.54,2974.12,Air,46937.17,58.0591,19373.72,2779.14,86.43,2147,0.76,Process Reengineering,498059.74,18.0,27.99,0.68,Steel Manufacturing
C001,2024-01-10,Manufacturing,68150.63,14471.7,53678.93,4042.77,3147.39,Ship,51190.81,16.1809,6784.32,352.2,62.36,757,0.86,Efficiency Upgrade,305662.45,10.57,33.52,0.7,Cement Production
C001,2024-01-11,Manufacturing,158502.88,85780.42,72722.46,6185.9,1593.49,Rail,66524.79,24.5862,9000.61,809.66,74.83,4325,0.86,Efficiency Upgrade,369345.82,24.68,60.6,0.62,Automotive Industry
C001,2024-01-12,Manufacturing,100895.39,53558.93,47336.46,3237.91,1355.94,Rail,19812.76,15.9381,8312.16,736.89,62.64,1302,0.33,Efficiency Upgrade,487598.5,23.53,70.81,0.49,Logistics
